Address:,USB0::0x0957::0x179B::MY58106377::0::INSTR,,Analog Channels,,
,,,-0.0484206883252,-0.0180816128849983,
,,,-0.0484052881983,-0.0180816128849983,
,,,-0.0483898880714,-0.0180816128849983,
,,,-0.0483744879445,-0.0180816128849983,
,,,-0.0483590878176,-0.00561930239200592,
,,,-0.0483436876907,-0.0180816128849983,
,,,-0.0483282875638,-0.00561930239200592,
,,,-0.0483128874369,-0.0180816128849983,
,,,-0.04829748731,-0.0180816128849983,
,,,-0.0482820871831,-0.0180816128849983,
,,,-0.0482666870562,-0.0180816128849983,
,,,-0.0482512869293,-0.0180816128849983,
,,,-0.0482358868024,-0.00561930239200592,
,,,-0.0482204866755,-0.00561930239200592,
,,,-0.0482050865486,-0.0180816128849983,
,,,-0.0481896864217,-0.0180816128849983,
,,,-0.0481742862948,-0.0180816128849983,
,,,-0.0481588861679,-0.0180816128849983,
,,,-0.048143486041,-0.0180816128849983,
,,,-0.0481280859141,-0.00561930239200592,
,,,-0.0481126857872,-0.0180816128849983,
,,,-0.0480972856603,-0.0180816128849983,
,,,-0.0480818855334,-0.0180816128849983,
,,,-0.0480664854065,-0.0180816128849983,
,,,-0.0480510852796,-0.0180816128849983,
,,,-0.0480356851527,-0.0180816128849983,
,,,-0.0480202850258,-0.0180816128849983,
,,,-0.0480048848989,-0.0180816128849983,
,,,-0.047989484772,-0.0180816128849983,
,,,-0.0479740846451,-0.0180816128849983,
,,,-0.0479586845182,-0.00561930239200592,
,,,-0.0479432843913,-0.0180816128849983,
,,,-0.0479278842644,-0.0180816128849983,
,,,-0.0479124841375,-0.0180816128849983,
,,,-0.0478970840106,-0.0180816128849983,
,,,-0.0478816838837,-0.0180816128849983,
,,,-0.0478662837568,-0.00561930239200592,
,,,-0.0478508836299,-0.0180816128849983,
,,,-0.047835483503,-0.0180816128849983,
,,,-0.0478200833761,-0.0180816128849983,
,,,-0.0478046832492,-0.0180816128849983,
,,,-0.0477892831223,-0.0180816128849983,
,,,-0.0477738829954,-0.0180816128849983,
,,,-0.0477584828685,-0.0180816128849983,
,,,-0.0477430827416,-0.0180816128849983,
,,,-0.0477276826147,-0.0180816128849983,
,,,-0.0477122824878,-0.00561930239200592,
,,,-0.0476968823609,-0.00561930239200592,
,,,-0.047681482234,-0.0180816128849983,
,,,-0.0476660821071,-0.0180816128849983,
,,,-0.0476506819802,-0.0180816128849983,
,,,-0.0476352818533,-0.0180816128849983,
,,,-0.0476198817264,-0.0180816128849983,
,,,-0.0476044815995,-0.0180816128849983,
,,,-0.0475890814726,-0.0180816128849983,
,,,-0.0475736813457,-0.0305439233779907,
,,,-0.0475582812188,-0.0180816128849983,
,,,-0.0475428810919,-0.0180816128849983,
,,,-0.047527480965,-0.0180816128849983,
,,,-0.0475120808381,-0.0180816128849983,
,,,-0.0474966807112,-0.0180816128849983,
,,,-0.0474812805843,-0.0180816128849983,
,,,-0.0474658804574,-0.0180816128849983,
,,,-0.0474504803305,-0.0180816128849983,
,,,-0.0474350802036,-0.0180816128849983,
,,,-0.0474196800767,-0.0180816128849983,
,,,-0.0474042799498,-0.0180816128849983,
,,,-0.0473888798229,-0.0180816128849983,
,,,-0.047373479696,-0.0180816128849983,
,,,-0.0473580795691,-0.0180816128849983,
,,,-0.0473426794422,-0.0180816128849983,
,,,-0.0473272793153,-0.0180816128849983,
,,,-0.0473118791884,-0.0180816128849983,
,,,-0.0472964790615,-0.0305439233779907,
,,,-0.0472810789346,-0.0180816128849983,
,,,-0.0472656788077,-0.00561930239200592,
,,,-0.0472502786808,-0.0180816128849983,
,,,-0.0472348785539,-0.0180816128849983,
,,,-0.047219478427,-0.0180816128849983,
,,,-0.0472040783001,-0.0180816128849983,
,,,-0.0471886781732,-0.0180816128849983,
,,,-0.0471732780463,-0.0180816128849983,
,,,-0.0471578779194,-0.0180816128849983,
,,,-0.0471424777925,-0.00561930239200592,
,,,-0.0471270776656,-0.0180816128849983,
,,,-0.0471116775387,-0.0180816128849983,
,,,-0.0470962774118,-0.0305439233779907,
,,,-0.0470808772849,-0.0180816128849983,
,,,-0.047065477158,-0.0180816128849983,
,,,-0.0470500770311,-0.0180816128849983,
,,,-0.0470346769042,-0.0180816128849983,
,,,-0.0470192767773,-0.0180816128849983,
,,,-0.0470038766504,-0.0180816128849983,
,,,-0.0469884765235,-0.00561930239200592,
,,,-0.0469730763966,-0.0180816128849983,
,,,-0.0469576762697,-0.00561930239200592,
,,,-0.0469422761428,-0.00561930239200592,
,,,-0.0469268760159,-0.0180816128849983,
,,,-0.046911475889,-0.0180816128849983,
,,,-0.0468960757621,-0.0180816128849983,
,,,-0.0468806756352,-0.0180816128849983,
,,,-0.0468652755083,-0.0180816128849983,
,,,-0.0468498753814,-0.0180816128849983,
,,,-0.0468344752545,-0.0180816128849983,
,,,-0.0468190751276,-0.00561930239200592,
,,,-0.0468036750007,-0.0180816128849983,
,,,-0.0467882748738,-0.0180816128849983,
,,,-0.0467728747469,-0.0180816128849983,
,,,-0.04675747462,-0.0180816128849983,
,,,-0.0467420744931,-0.0180816128849983,
,,,-0.0467266743662,-0.0180816128849983,
,,,-0.0467112742393,-0.0180816128849983,
,,,-0.0466958741124,-0.00561930239200592,
,,,-0.0466804739855,-0.0180816128849983,
,,,-0.0466650738586,-0.00561930239200592,
,,,-0.0466496737317,-0.0180816128849983,
,,,-0.0466342736048,-0.0180816128849983,
,,,-0.0466188734779,-0.0180816128849983,
,,,-0.046603473351,-0.0180816128849983,
,,,-0.0465880732241,-0.0180816128849983,
,,,-0.0465726730972,-0.0180816128849983,
,,,-0.0465572729703,-0.0180816128849983,
,,,-0.0465418728434,-0.0180816128849983,
,,,-0.0465264727165,-0.0180816128849983,
,,,-0.0465110725896,-0.0180816128849983,
,,,-0.0464956724627,-0.0180816128849983,
,,,-0.0464802723358,-0.0180816128849983,
,,,-0.0464648722089,-0.00561930239200592,
,,,-0.046449472082,-0.0180816128849983,
,,,-0.0464340719551,-0.0180816128849983,
,,,-0.0464186718282,-0.0180816128849983,
,,,-0.0464032717013,-0.0180816128849983,
,,,-0.0463878715744,-0.0180816128849983,
,,,-0.0463724714475,-0.00561930239200592,
,,,-0.0463570713206,-0.0180816128849983,
,,,-0.0463416711937,-0.0180816128849983,
,,,-0.0463262710668,-0.0180816128849983,
,,,-0.0463108709399,-0.0180816128849983,
,,,-0.046295470813,-0.0180816128849983,
,,,-0.0462800706861,-0.0180816128849983,
,,,-0.0462646705592,-0.0305439233779907,
,,,-0.0462492704323,-0.0180816128849983,
,,,-0.0462338703054,-0.0180816128849983,
,,,-0.0462184701785,-0.0180816128849983,
,,,-0.0462030700516,-0.0305439233779907,
,,,-0.0461876699247,-0.0180816128849983,
,,,-0.0461722697978,-0.0180816128849983,
,,,-0.0461568696709,-0.0180816128849983,
,,,-0.046141469544,-0.0305439233779907,
,,,-0.0461260694171,-0.0180816128849983,
,,,-0.0461106692902,-0.0180816128849983,
,,,-0.0460952691633,-0.0180816128849983,
,,,-0.0460798690364,-0.0180816128849983,
,,,-0.0460644689095,-0.0180816128849983,
,,,-0.0460490687826,-0.00561930239200592,
,,,-0.0460336686557,-0.00561930239200592,
,,,-0.0460182685288,-0.0180816128849983,
,,,-0.0460028684019,-0.0180816128849983,
,,,-0.045987468275,-0.0305439233779907,
,,,-0.0459720681481,-0.0180816128849983,
,,,-0.0459566680212,-0.0305439233779907,
,,,-0.0459412678943,-0.0180816128849983,
,,,-0.0459258677674,-0.00561930239200592,
,,,-0.0459104676405,-0.00561930239200592,
,,,-0.0458950675136,-0.0180816128849983,
,,,-0.0458796673867,-0.00561930239200592,
,,,-0.0458642672598,-0.0180816128849983,
,,,-0.0458488671329,-0.0180816128849983,
,,,-0.045833467006,-0.0305439233779907,
,,,-0.0458180668791,-0.00561930239200592,
,,,-0.0458026667522,-0.0180816128849983,
,,,-0.0457872666253,-0.0180816128849983,
,,,-0.0457718664984,-0.0180816128849983,
,,,-0.0457564663715,-0.0305439233779907,
,,,-0.0457410662446,-0.0180816128849983,
,,,-0.0457256661177,-0.00561930239200592,
,,,-0.0457102659908,-0.0180816128849983,
,,,-0.0456948658639,-0.00561930239200592,
,,,-0.045679465737,-0.0180816128849983,
,,,-0.0456640656101,-0.0180816128849983,
,,,-0.0456486654832,-0.0180816128849983,
,,,-0.0456332653563,-0.0180816128849983,
,,,-0.0456178652294,-0.0180816128849983,
,,,-0.0456024651025,-0.0180816128849983,
,,,-0.0455870649756,-0.0180816128849983,
,,,-0.0455716648487,-0.00561930239200592,
,,,-0.0455562647218,-0.00561930239200592,
,,,-0.0455408645949,-0.0180816128849983,
,,,-0.045525464468,-0.0180816128849983,
,,,-0.0455100643411,-0.00561930239200592,
,,,-0.0454946642142,-0.00561930239200592,
,,,-0.0454792640873,-0.00561930239200592,
,,,-0.0454638639604,-0.0305439233779907,
,,,-0.0454484638335,-0.0180816128849983,
,,,-0.0454330637066,-0.0180816128849983,
,,,-0.0454176635797,-0.0180816128849983,
,,,-0.0454022634528,-0.0305439233779907,
,,,-0.0453868633259,-0.00561930239200592,
,,,-0.045371463199,-0.0180816128849983,
,,,-0.0453560630721,-0.0180816128849983,
,,,-0.0453406629452,-0.0180816128849983,
,,,-0.0453252628183,-0.00561930239200592,
,,,-0.0453098626914,-0.0180816128849983,
,,,-0.0452944625645,-0.0180816128849983,
,,,-0.0452790624376,-0.0180816128849983,
,,,-0.0452636623107,-0.0180816128849983,
,,,-0.0452482621838,-0.0180816128849983,
,,,-0.0452328620569,-0.0180816128849983,
,,,-0.04521746193,-0.0180816128849983,
,,,-0.0452020618031,-0.0180816128849983,
,,,-0.0451866616762,-0.0180816128849983,
,,,-0.0451712615493,-0.0180816128849983,
,,,-0.0451558614224,-0.0180816128849983,
,,,-0.0451404612955,-0.0180816128849983,
,,,-0.0451250611686,-0.00561930239200592,
,,,-0.0451096610417,-0.0180816128849983,
,,,-0.0450942609148,-0.0305439233779907,
,,,-0.0450788607879,-0.00561930239200592,
,,,-0.045063460661,-0.00561930239200592,
,,,-0.0450480605341,-0.0180816128849983,
,,,-0.0450326604072,-0.0180816128849983,
,,,-0.0450172602803,-0.0305439233779907,
,,,-0.0450018601534,-0.0180816128849983,
,,,-0.0449864600265,-0.0180816128849983,
,,,-0.0449710598996,-0.0180816128849983,
,,,-0.0449556597727,-0.0180816128849983,
,,,-0.0449402596458,-0.0180816128849983,
,,,-0.0449248595189,-0.0180816128849983,
,,,-0.044909459392,-0.00561930239200592,
,,,-0.0448940592651,-0.0180816128849983,
,,,-0.0448786591382,-0.0180816128849983,
,,,-0.0448632590113,-0.0180816128849983,
,,,-0.0448478588844,-0.0180816128849983,
,,,-0.0448324587575,-0.0180816128849983,
,,,-0.0448170586306,-0.0180816128849983,
,,,-0.0448016585037,-0.00561930239200592,
,,,-0.0447862583768,-0.0180816128849983,
,,,-0.0447708582499,-0.0180816128849983,
,,,-0.044755458123,-0.0180816128849983,
,,,-0.0447400579961,-0.00561930239200592,
,,,-0.0447246578692,-0.0180816128849983,
,,,-0.0447092577423,-0.00561930239200592,
,,,-0.0446938576154,-0.0180816128849983,
,,,-0.0446784574885,-0.0180816128849983,
,,,-0.0446630573616,-0.00561930239200592,
,,,-0.0446476572347,-0.0180816128849983,
,,,-0.0446322571078,-0.0180816128849983,
,,,-0.0446168569809,-0.00561930239200592,
,,,-0.044601456854,-0.0180816128849983,
,,,-0.0445860567271,-0.0180816128849983,
,,,-0.0445706566002,-0.0180816128849983,
,,,-0.0445552564733,-0.00561930239200592,
,,,-0.0445398563464,-0.0180816128849983,
,,,-0.0445244562195,-0.0305439233779907,
,,,-0.0445090560926,-0.0180816128849983,
,,,-0.0444936559657,-0.0180816128849983,
,,,-0.0444782558388,-0.0305439233779907,
,,,-0.0444628557119,-0.0180816128849983,
,,,-0.044447455585,-0.0180816128849983,
,,,-0.0444320554581,-0.00561930239200592,
,,,-0.0444166553312,-0.0305439233779907,
,,,-0.0444012552043,-0.0180816128849983,
,,,-0.0443858550774,-0.0180816128849983,
,,,-0.0443704549505,-0.0180816128849983,
,,,-0.0443550548236,-0.00561930239200592,
,,,-0.0443396546967,-0.0180816128849983,
,,,-0.0443242545698,-0.0180816128849983,
,,,-0.0443088544429,-0.0180816128849983,
,,,-0.044293454316,-0.00561930239200592,
,,,-0.0442780541891,-0.0180816128849983,
,,,-0.0442626540622,-0.0180816128849983,
,,,-0.0442472539353,-0.0180816128849983,
,,,-0.0442318538084,-0.0180816128849983,
,,,-0.0442164536815,-0.00561930239200592,
,,,-0.0442010535546,-0.0180816128849983,
,,,-0.0441856534277,-0.00561930239200592,
,,,-0.0441702533008,-0.0180816128849983,
,,,-0.0441548531739,-0.0180816128849983,
,,,-0.044139453047,-0.0180816128849983,
,,,-0.0441240529201,-0.0180816128849983,
,,,-0.0441086527932,-0.0180816128849983,
,,,-0.0440932526663,-0.0305439233779907,
,,,-0.0440778525394,-0.0180816128849983,
,,,-0.0440624524125,-0.0180816128849983,
,,,-0.0440470522856,-0.0180816128849983,
,,,-0.0440316521587,-0.0180816128849983,
,,,-0.0440162520318,-0.0305439233779907,
,,,-0.0440008519049,-0.0180816128849983,
,,,-0.043985451778,-0.00561930239200592,
,,,-0.0439700516511,-0.0180816128849983,
,,,-0.0439546515242,-0.0180816128849983,
,,,-0.0439392513973,-0.0180816128849983,
,,,-0.0439238512704,-0.0180816128849983,
,,,-0.0439084511435,-0.0180816128849983,
,,,-0.0438930510166,-0.0180816128849983,
,,,-0.0438776508897,-0.0180816128849983,
,,,-0.0438622507628,-0.00561930239200592,
,,,-0.0438468506359,-0.00561930239200592,
,,,-0.043831450509,-0.00561930239200592,
,,,-0.0438160503821,-0.0305439233779907,
,,,-0.0438006502552,-0.0180816128849983,
,,,-0.0437852501283,-0.0180816128849983,
,,,-0.0437698500014,-0.0180816128849983,
,,,-0.0437544498745,-0.0180816128849983,
,,,-0.0437390497476,-0.00561930239200592,
,,,-0.0437236496207,-0.0180816128849983,
,,,-0.0437082494938,-0.0180816128849983,
,,,-0.0436928493669,-0.0180816128849983,
,,,-0.04367744924,-0.0180816128849983,
,,,-0.0436620491131,-0.0180816128849983,
,,,-0.0436466489862,-0.0180816128849983,
,,,-0.0436312488593,-0.0180816128849983,
,,,-0.0436158487324,-0.0180816128849983,
,,,-0.0436004486055,-0.0180816128849983,
,,,-0.0435850484786,-0.0180816128849983,
,,,-0.0435696483517,-0.0180816128849983,
,,,-0.0435542482248,-0.0180816128849983,
,,,-0.0435388480979,-0.0180816128849983,
,,,-0.043523447971,-0.0180816128849983,
,,,-0.0435080478441,-0.0180816128849983,
,,,-0.0434926477172,-0.0180816128849983,
,,,-0.0434772475903,-0.0305439233779907,
,,,-0.0434618474634,-0.0180816128849983,
,,,-0.0434464473365,-0.0180816128849983,
,,,-0.0434310472096,-0.0180816128849983,
,,,-0.0434156470827,-0.0180816128849983,
,,,-0.0434002469558,-0.0180816128849983,
,,,-0.0433848468289,-0.00561930239200592,
,,,-0.043369446702,-0.0180816128849983,
,,,-0.0433540465751,-0.0180816128849983,
,,,-0.0433386464482,-0.0180816128849983,
,,,-0.0433232463213,-0.0180816128849983,
,,,-0.0433078461944,-0.00561930239200592,
,,,-0.0432924460675,-0.0180816128849983,
,,,-0.0432770459406,-0.00561930239200592,
,,,-0.0432616458137,-0.00561930239200592,
,,,-0.0432462456868,-0.0180816128849983,
,,,-0.0432308455599,-0.0180816128849983,
,,,-0.043215445433,-0.0180816128849983,
,,,-0.0432000453061,-0.0180816128849983,
,,,-0.0431846451792,-0.0180816128849983,
,,,-0.0431692450523,-0.0180816128849983,
,,,-0.0431538449254,-0.0180816128849983,
,,,-0.0431384447985,-0.0180816128849983,
,,,-0.0431230446716,-0.0180816128849983,
,,,-0.0431076445447,-0.0180816128849983,
,,,-0.0430922444178,-0.0305439233779907,
,,,-0.0430768442909,-0.0180816128849983,
,,,-0.043061444164,-0.0180816128849983,
,,,-0.0430460440371,-0.00561930239200592,
,,,-0.0430306439102,-0.0180816128849983,
,,,-0.0430152437833,-0.0180816128849983,
,,,-0.0429998436564,-0.0180816128849983,
,,,-0.0429844435295,-0.0180816128849983,
,,,-0.0429690434026,-0.00561930239200592,
,,,-0.0429536432757,-0.0180816128849983,
,,,-0.0429382431488,-0.0180816128849983,
,,,-0.0429228430219,-0.0180816128849983,
,,,-0.042907442895,-0.0180816128849983,
,,,-0.0428920427681,-0.0180816128849983,
,,,-0.0428766426412,-0.0180816128849983,
,,,-0.0428612425143,-0.00561930239200592,
,,,-0.0428458423874,-0.0180816128849983,
,,,-0.0428304422605,-0.0180816128849983,
,,,-0.0428150421336,-0.00561930239200592,
,,,-0.0427996420067,-0.0180816128849983,
,,,-0.0427842418798,-0.0180816128849983,
,,,-0.0427688417529,-0.00561930239200592,
,,,-0.042753441626,-0.00561930239200592,
,,,-0.0427380414991,-0.0180816128849983,
,,,-0.0427226413722,-0.00561930239200592,
,,,-0.0427072412453,-0.00561930239200592,
,,,-0.0426918411184,-0.0305439233779907,
,,,-0.0426764409915,-0.0305439233779907,
,,,-0.0426610408646,-0.0180816128849983,
,,,-0.0426456407377,-0.00561930239200592,
,,,-0.0426302406108,-0.0180816128849983,
,,,-0.0426148404839,-0.0180816128849983,
,,,-0.042599440357,-0.0180816128849983,
,,,-0.0425840402301,-0.00561930239200592,
,,,-0.0425686401032,-0.0180816128849983,
,,,-0.0425532399763,-0.0180816128849983,
,,,-0.0425378398494,-0.00561930239200592,
,,,-0.0425224397225,-0.0180816128849983,
,,,-0.0425070395956,-0.0180816128849983,
,,,-0.0424916394687,-0.0180816128849983,
,,,-0.0424762393418,-0.00561930239200592,
,,,-0.0424608392149,-0.00561930239200592,
,,,-0.042445439088,-0.0180816128849983,
,,,-0.0424300389611,-0.00561930239200592,
,,,-0.0424146388342,-0.0180816128849983,
,,,-0.0423992387073,-0.0180816128849983,
,,,-0.0423838385804,-0.00561930239200592,
,,,-0.0423684384535,-0.0305439233779907,
,,,-0.0423530383266,-0.0180816128849983,
,,,-0.0423376381997,-0.00561930239200592,
,,,-0.0423222380728,-0.0180816128849983,
,,,-0.0423068379459,-0.0180816128849983,
,,,-0.042291437819,-0.0180816128849983,
,,,-0.0422760376921,-0.0180816128849983,
,,,-0.0422606375652,-0.0180816128849983,
,,,-0.0422452374383,-0.00561930239200592,
,,,-0.0422298373114,-0.0180816128849983,
,,,-0.0422144371845,-0.00561930239200592,
,,,-0.0421990370576,-0.0180816128849983,
,,,-0.0421836369307,-0.00561930239200592,
,,,-0.0421682368038,-0.0180816128849983,
,,,-0.0421528366769,-0.0180816128849983,
,,,-0.04213743655,-0.00561930239200592,
,,,-0.0421220364231,-0.0180816128849983,
,,,-0.0421066362962,-0.00561930239200592,
,,,-0.0420912361693,-0.0180816128849983,
,,,-0.0420758360424,-0.00561930239200592,
,,,-0.0420604359155,-0.0180816128849983,
,,,-0.0420450357886,-0.0180816128849983,
,,,-0.0420296356617,-0.0180816128849983,
,,,-0.0420142355348,-0.0180816128849983,
,,,-0.0419988354079,-0.0180816128849983,
,,,-0.041983435281,-0.0180816128849983,
,,,-0.0419680351541,-0.00561930239200592,
,,,-0.0419526350272,-0.0180816128849983,
,,,-0.0419372349003,-0.0180816128849983,
,,,-0.0419218347734,-0.0305439233779907,
,,,-0.0419064346465,-0.00561930239200592,
,,,-0.0418910345196,-0.00561930239200592,
,,,-0.0418756343927,-0.00561930239200592,
,,,-0.0418602342658,-0.0180816128849983,
,,,-0.0418448341389,-0.0180816128849983,
,,,-0.041829434012,-0.0180816128849983,
,,,-0.0418140338851,-0.0180816128849983,
,,,-0.0417986337582,-0.0180816128849983,
,,,-0.0417832336313,-0.0180816128849983,
,,,-0.0417678335044,-0.0180816128849983,
,,,-0.0417524333775,-0.0180816128849983,
,,,-0.0417370332506,-0.0180816128849983,
,,,-0.0417216331237,-0.0180816128849983,
,,,-0.0417062329968,-0.0180816128849983,
,,,-0.0416908328699,-0.0180816128849983,
,,,-0.041675432743,-0.00561930239200592,
,,,-0.0416600326161,-0.0180816128849983,
,,,-0.0416446324892,-0.0180816128849983,
,,,-0.0416292323623,-0.0180816128849983,
,,,-0.0416138322354,-0.00561930239200592,
,,,-0.0415984321085,-0.00561930239200592,
,,,-0.0415830319816,-0.0180816128849983,
,,,-0.0415676318547,-0.0180816128849983,
,,,-0.0415522317278,-0.0305439233779907,
,,,-0.0415368316009,-0.00561930239200592,
,,,-0.041521431474,-0.0180816128849983,
,,,-0.0415060313471,-0.0180816128849983,
,,,-0.0414906312202,-0.0180816128849983,
,,,-0.0414752310933,-0.0305439233779907,
,,,-0.0414598309664,-0.0180816128849983,
,,,-0.0414444308395,-0.0180816128849983,
,,,-0.0414290307126,-0.0180816128849983,
,,,-0.0414136305857,-0.0180816128849983,
,,,-0.0413982304588,-0.0180816128849983,
,,,-0.0413828303319,-0.0180816128849983,
,,,-0.041367430205,-0.0180816128849983,
,,,-0.0413520300781,-0.0180816128849983,
,,,-0.0413366299512,-0.0180816128849983,
,,,-0.0413212298243,-0.0180816128849983,
,,,-0.0413058296974,-0.0180816128849983,
,,,-0.0412904295705,-0.0305439233779907,
,,,-0.0412750294436,-0.0180816128849983,
,,,-0.0412596293167,-0.0305439233779907,
,,,-0.0412442291898,-0.0180816128849983,
,,,-0.0412288290629,-0.0180816128849983,
,,,-0.041213428936,-0.0180816128849983,
,,,-0.0411980288091,-0.0180816128849983,
,,,-0.0411826286822,-0.00561930239200592,
,,,-0.0411672285553,-0.00561930239200592,
,,,-0.0411518284284,-0.0180816128849983,
,,,-0.0411364283015,-0.0180816128849983,
,,,-0.0411210281746,-0.00561930239200592,
,,,-0.0411056280477,-0.0180816128849983,
,,,-0.0410902279208,-0.00561930239200592,
,,,-0.0410748277939,-0.0180816128849983,
,,,-0.041059427667,-0.0180816128849983,
,,,-0.0410440275401,-0.0180816128849983,
,,,-0.0410286274132,-0.0180816128849983,
,,,-0.0410132272863,-0.00561930239200592,
,,,-0.0409978271594,-0.0305439233779907,
,,,-0.0409824270325,-0.0180816128849983,
,,,-0.0409670269056,-0.0180816128849983,
,,,-0.0409516267787,-0.0180816128849983,
,,,-0.0409362266518,-0.0180816128849983,
,,,-0.0409208265249,-0.0180816128849983,
,,,-0.040905426398,-0.0305439233779907,
,,,-0.0408900262711,-0.0180816128849983,
,,,-0.0408746261442,-0.0180816128849983,
,,,-0.0408592260173,-0.0180816128849983,
,,,-0.0408438258904,-0.0180816128849983,
,,,-0.0408284257635,-0.0180816128849983,
,,,-0.0408130256366,-0.0180816128849983,
,,,-0.0407976255097,-0.00561930239200592,
,,,-0.0407822253828,-0.0180816128849983,
