Address:,USB0::0x0957::0x179B::MY58106377::0::INSTR,,Analog Channels,,,,Function Channels,,
Holdoff,40.0 ns,,-0.0344521125,-0.0517490953207016,-0.012771375477314,,-0.0344521125,-0.0545935574918985,
Mode,GLIT,,-0.0344443125,-0.0517490953207016,-0.012771375477314,,-0.0344443125,-0.0741248056292534,
Source,CHAN1,,-0.0344365125,-0.11285462975502,-0.012771375477314,,-0.0344365125,-0.0545935574918985,
Slope,POS,,-0.0344287125,-0.11285462975502,-0.0324698686599731,,-0.0344287125,-0.0741248056292534,
Level,0 V V,,-0.0344209125,-0.0517490953207016,-0.012771375477314,,-0.0344209125,-0.0741248056292534,
,,,-0.0344131125,-0.0517490953207016,-0.012771375477314,,-0.0344131125,-0.0545935574918985,
HORIZONTAL,,,-0.0344053125,-0.0517490953207016,-0.0324698686599731,,-0.0344053125,-0.0545935574918985,
Mode,MAIN,,-0.0343975125,-0.11285462975502,-0.012771375477314,,-0.0343975125,-0.0545935574918985,
Ref,CENT,,-0.0343897125,-0.11285462975502,-0.012771375477314,,-0.0343897125,-0.0545935574918985,
Main Scale,3.9 ms/,,-0.0343819125,-0.0517490953207016,-0.0324698686599731,,-0.0343819125,0.00400018692016602,
Main Delay,-15.3 ms,,-0.0343741125,-0.0517490953207016,-0.012771375477314,,-0.0343741125,-0.0545935574918985,
,,,-0.0343663125,-0.0517490953207016,-0.0324698686599731,,-0.0343663125,-0.0741248056292534,
ACQUISITION,,,-0.0343585125,-0.0517490953207016,-0.012771375477314,,-0.0343585125,-0.0545935574918985,
Mode,NORM,,-0.0343507125,-0.0517490953207016,-0.012771375477314,,-0.0343507125,0.00400018692016602,
RealTime,On,,-0.0343429125,-0.0517490953207016,-0.012771375477314,,-0.0343429125,-0.0545935574918985,
Vectors,On,,-0.0343351125,-0.0517490953207016,-0.012771375477314,,-0.0343351125,-0.0545935574918985,
Persistence,Off,,-0.0343273125,-0.0517490953207016,-0.012771375477314,,-0.0343273125,-0.0545935574918985,
,,,-0.0343195125,-0.0517490953207016,-0.0324698686599731,,-0.0343195125,-0.0545935574918985,
MEASUREMENTS,,,-0.0343117125,-0.0517490953207016,-0.012771375477314,,-0.0343117125,-0.0545935574918985,
Pk-Pk(1),,,-0.0343039125,-0.11285462975502,-0.0324698686599731,,-0.0343039125,-0.0545935574918985,
Cur,No signal,,-0.0342961125,-0.0517490953207016,-0.012771375477314,,-0.0342961125,-0.0545935574918985,
,,,-0.0342883125,-0.0517490953207016,-0.0324698686599731,,-0.0342883125,-0.0545935574918985,
Pk-Pk(2),,,-0.0342805125,-0.11285462975502,-0.012771375477314,,-0.0342805125,-0.0545935574918985,
Cur,2.52 V,,-0.0342727125,-0.0517490953207016,-0.012771375477314,,-0.0342727125,0.00400018692016602,
,,,-0.0342649125,-0.11285462975502,-0.012771375477314,,-0.0342649125,-0.0545935574918985,
Pk-Pk(M),,,-0.0342571125,-0.0517490953207016,-0.012771375477314,,-0.0342571125,-0.0545935574918985,
Cur,5.7 ,,-0.0342493125,-0.0517490953207016,-0.012771375477314,,-0.0342493125,-0.0545935574918985,
,,,-0.0342415125,-0.0517490953207016,-0.0324698686599731,,-0.0342415125,-0.0545935574918985,
,,,-0.0342337125,-0.0517490953207016,-0.012771375477314,,-0.0342337125,-0.0741248056292534,
,,,-0.0342259125,-0.0517490953207016,-0.012771375477314,,-0.0342259125,-0.0545935574918985,
,,,-0.0342181125,-0.0517490953207016,-0.012771375477314,,-0.0342181125,-0.0545935574918985,
,,,-0.0342103125,-0.0517490953207016,-0.012771375477314,,-0.0342103125,0.00400018692016602,
,,,-0.0342025125,-0.0517490953207016,-0.012771375477314,,-0.0342025125,-0.0545935574918985,
,,,-0.0341947125,-0.0517490953207016,-0.012771375477314,,-0.0341947125,0.00400018692016602,
,,,-0.0341869125,-0.0517490953207016,-0.012771375477314,,-0.0341869125,0.00400018692016602,
,,,-0.0341791125,-0.11285462975502,-0.012771375477314,,-0.0341791125,-0.0545935574918985,
,,,-0.0341713125,-0.0517490953207016,-0.0324698686599731,,-0.0341713125,0.00400018692016602,
,,,-0.0341635125,-0.0517490953207016,-0.012771375477314,,-0.0341635125,-0.0545935574918985,
,,,-0.0341557125,-0.11285462975502,-0.012771375477314,,-0.0341557125,-0.0545935574918985,
,,,-0.0341479125,-0.0517490953207016,-0.0324698686599731,,-0.0341479125,0.00400018692016602,
,,,-0.0341401125,-0.11285462975502,-0.0324698686599731,,-0.0341401125,-0.0545935574918985,
,,,-0.0341323125,-0.0517490953207016,-0.0324698686599731,,-0.0341323125,-0.0545935574918985,
,,,-0.0341245125,-0.0517490953207016,-0.012771375477314,,-0.0341245125,-0.0741248056292534,
,,,-0.0341167125,-0.0517490953207016,-0.012771375477314,,-0.0341167125,-0.0545935574918985,
,,,-0.0341089125,-0.0517490953207016,-0.012771375477314,,-0.0341089125,-0.0545935574918985,
,,,-0.0341011125,-0.0517490953207016,-0.012771375477314,,-0.0341011125,-0.0741248056292534,
,,,-0.0340933125,-0.11285462975502,-0.012771375477314,,-0.0340933125,-0.0545935574918985,
,,,-0.0340855125,-0.11285462975502,-0.012771375477314,,-0.0340855125,-0.0545935574918985,
,,,-0.0340777125,-0.0517490953207016,-0.012771375477314,,-0.0340777125,-0.0545935574918985,
,,,-0.0340699125,-0.0517490953207016,-0.012771375477314,,-0.0340699125,-0.0741248056292534,
,,,-0.0340621125,-0.0517490953207016,-0.012771375477314,,-0.0340621125,-0.0545935574918985,
,,,-0.0340543125,-0.11285462975502,-0.012771375477314,,-0.0340543125,-0.0545935574918985,
,,,-0.0340465125,-0.0517490953207016,-0.012771375477314,,-0.0340465125,-0.0741248056292534,
,,,-0.0340387125,-0.11285462975502,-0.0324698686599731,,-0.0340387125,-0.0545935574918985,
,,,-0.0340309125,0.00935643911361694,0.00692711770534515,,-0.0340309125,-0.0155310612171888,
,,,-0.0340231125,-0.0517490953207016,-0.012771375477314,,-0.0340231125,-0.0741248056292534,
,,,-0.0340153125,-0.0517490953207016,-0.0324698686599731,,-0.0340153125,-0.0545935574918985,
,,,-0.0340075125,-0.0517490953207016,-0.012771375477314,,-0.0340075125,-0.0741248056292534,
,,,-0.0339997125,-0.0517490953207016,-0.012771375477314,,-0.0339997125,-0.0155310612171888,
,,,-0.0339919125,-0.0517490953207016,-0.012771375477314,,-0.0339919125,-0.0545935574918985,
,,,-0.0339841125,-0.0517490953207016,-0.012771375477314,,-0.0339841125,-0.0741248056292534,
,,,-0.0339763125,-0.0517490953207016,-0.012771375477314,,-0.0339763125,-0.0545935574918985,
,,,-0.0339685125,-0.0517490953207016,-0.0324698686599731,,-0.0339685125,-0.0545935574918985,
,,,-0.0339607125,-0.0517490953207016,-0.012771375477314,,-0.0339607125,-0.0155310612171888,
,,,-0.0339529125,-0.11285462975502,-0.012771375477314,,-0.0339529125,-0.0741248056292534,
,,,-0.0339451125,-0.0517490953207016,-0.012771375477314,,-0.0339451125,0.00400018692016602,
,,,-0.0339373125,-0.0517490953207016,-0.0324698686599731,,-0.0339373125,-0.0741248056292534,
,,,-0.0339295125,-0.0517490953207016,-0.012771375477314,,-0.0339295125,-0.0545935574918985,
,,,-0.0339217125,-0.11285462975502,-0.012771375477314,,-0.0339217125,-0.0545935574918985,
,,,-0.0339139125,-0.0517490953207016,-0.012771375477314,,-0.0339139125,-0.0741248056292534,
,,,-0.0339061125,-0.0517490953207016,-0.012771375477314,,-0.0339061125,-0.0545935574918985,
,,,-0.0338983125,-0.11285462975502,-0.012771375477314,,-0.0338983125,-0.0545935574918985,
,,,-0.0338905125,-0.0517490953207016,-0.012771375477314,,-0.0338905125,-0.0545935574918985,
,,,-0.0338827125,-0.0517490953207016,-0.012771375477314,,-0.0338827125,-0.0545935574918985,
,,,-0.0338749125,-0.11285462975502,-0.012771375477314,,-0.0338749125,-0.0741248056292534,
,,,-0.0338671125,-0.0517490953207016,-0.012771375477314,,-0.0338671125,-0.0545935574918985,
,,,-0.0338593125,-0.0517490953207016,-0.012771375477314,,-0.0338593125,-0.0741248056292534,
,,,-0.0338515125,-0.0517490953207016,-0.012771375477314,,-0.0338515125,0.00400018692016602,
,,,-0.0338437125,-0.11285462975502,-0.0324698686599731,,-0.0338437125,-0.0741248056292534,
,,,-0.0338359125,-0.11285462975502,-0.012771375477314,,-0.0338359125,-0.0545935574918985,
,,,-0.0338281125,-0.0517490953207016,-0.012771375477314,,-0.0338281125,-0.0545935574918985,
,,,-0.0338203125,-0.0517490953207016,-0.012771375477314,,-0.0338203125,-0.0741248056292534,
,,,-0.0338125125,-0.0517490953207016,-0.012771375477314,,-0.0338125125,-0.0545935574918985,
,,,-0.0338047125,-0.0517490953207016,-0.012771375477314,,-0.0338047125,0.00400018692016602,
,,,-0.0337969125,-0.0517490953207016,-0.012771375477314,,-0.0337969125,-0.0545935574918985,
,,,-0.0337891125,-0.0517490953207016,-0.0324698686599731,,-0.0337891125,-0.0741248056292534,
,,,-0.0337813125,-0.11285462975502,-0.012771375477314,,-0.0337813125,-0.0545935574918985,
,,,-0.0337735125,-0.0517490953207016,-0.012771375477314,,-0.0337735125,-0.0545935574918985,
,,,-0.0337657125,-0.0517490953207016,-0.012771375477314,,-0.0337657125,-0.0545935574918985,
,,,-0.0337579125,-0.0517490953207016,-0.012771375477314,,-0.0337579125,0.00400018692016602,
,,,-0.0337501125,-0.0517490953207016,-0.012771375477314,,-0.0337501125,-0.0741248056292534,
,,,-0.0337423125,-0.0517490953207016,-0.0324698686599731,,-0.0337423125,-0.0741248056292534,
,,,-0.0337345125,-0.0517490953207016,-0.012771375477314,,-0.0337345125,-0.0155310612171888,
,,,-0.0337267125,-0.0517490953207016,-0.012771375477314,,-0.0337267125,-0.0741248056292534,
,,,-0.0337189125,-0.0517490953207016,-0.012771375477314,,-0.0337189125,-0.0545935574918985,
,,,-0.0337111125,-0.0517490953207016,-0.0324698686599731,,-0.0337111125,-0.0741248056292534,
,,,-0.0337033125,-0.0517490953207016,-0.012771375477314,,-0.0337033125,-0.0741248056292534,
,,,-0.0336955125,-0.0517490953207016,-0.012771375477314,,-0.0336955125,-0.0545935574918985,
,,,-0.0336877125,-0.0517490953207016,-0.012771375477314,,-0.0336877125,-0.0545935574918985,
,,,-0.0336799125,-0.0517490953207016,-0.012771375477314,,-0.0336799125,-0.0545935574918985,
,,,-0.0336721125,-0.11285462975502,-0.012771375477314,,-0.0336721125,-0.0741248056292534,
,,,-0.0336643125,-0.0517490953207016,-0.012771375477314,,-0.0336643125,-0.0741248056292534,
,,,-0.0336565125,-0.0517490953207016,-0.012771375477314,,-0.0336565125,-0.0741248056292534,
,,,-0.0336487125,-0.0517490953207016,-0.012771375477314,,-0.0336487125,-0.0545935574918985,
,,,-0.0336409125,-0.0517490953207016,-0.012771375477314,,-0.0336409125,-0.0741248056292534,
,,,-0.0336331125,-0.0517490953207016,-0.012771375477314,,-0.0336331125,-0.0741248056292534,
,,,-0.0336253125,-0.0517490953207016,-0.0324698686599731,,-0.0336253125,-0.0741248056292534,
,,,-0.0336175125,-0.0517490953207016,-0.012771375477314,,-0.0336175125,-0.0545935574918985,
,,,-0.0336097125,-0.11285462975502,-0.012771375477314,,-0.0336097125,-0.0741248056292534,
,,,-0.0336019125,-0.0517490953207016,-0.012771375477314,,-0.0336019125,-0.0741248056292534,
,,,-0.0335941125,-0.0517490953207016,-0.0324698686599731,,-0.0335941125,-0.0545935574918985,
,,,-0.0335863125,-0.11285462975502,-0.012771375477314,,-0.0335863125,-0.0545935574918985,
,,,-0.0335785125,-0.11285462975502,-0.012771375477314,,-0.0335785125,-0.0545935574918985,
,,,-0.0335707125,-0.0517490953207016,-0.012771375477314,,-0.0335707125,-0.0741248056292534,
,,,-0.0335629125,-0.0517490953207016,-0.0324698686599731,,-0.0335629125,-0.0741248056292534,
,,,-0.0335551125,-0.0517490953207016,-0.012771375477314,,-0.0335551125,-0.0741248056292534,
,,,-0.0335473125,-0.0517490953207016,-0.0324698686599731,,-0.0335473125,-0.0545935574918985,
,,,-0.0335395125,-0.0517490953207016,-0.012771375477314,,-0.0335395125,-0.0741248056292534,
,,,-0.0335317125,-0.11285462975502,-0.012771375477314,,-0.0335317125,-0.0545935574918985,
,,,-0.0335239125,-0.0517490953207016,-0.012771375477314,,-0.0335239125,0.00400018692016602,
,,,-0.0335161125,-0.0517490953207016,-0.012771375477314,,-0.0335161125,-0.0545935574918985,
,,,-0.0335083125,-0.0517490953207016,-0.012771375477314,,-0.0335083125,-0.0155310612171888,
,,,-0.0335005125,-0.0517490953207016,0.00692711770534515,,-0.0335005125,-0.0155310612171888,
,,,-0.0334927125,-0.0517490953207016,-0.0324698686599731,,-0.0334927125,0.00400018692016602,
,,,-0.0334849125,-0.0517490953207016,-0.012771375477314,,-0.0334849125,-0.0545935574918985,
,,,-0.0334771125,-0.0517490953207016,-0.012771375477314,,-0.0334771125,0.00400018692016602,
,,,-0.0334693125,-0.0517490953207016,-0.012771375477314,,-0.0334693125,-0.0545935574918985,
,,,-0.0334615125,-0.0517490953207016,-0.012771375477314,,-0.0334615125,-0.0741248056292534,
,,,-0.0334537125,-0.0517490953207016,-0.0324698686599731,,-0.0334537125,-0.0545935574918985,
,,,-0.0334459125,-0.0517490953207016,-0.012771375477314,,-0.0334459125,-0.0545935574918985,
,,,-0.0334381125,-0.0517490953207016,-0.012771375477314,,-0.0334381125,-0.0545935574918985,
,,,-0.0334303125,-0.0517490953207016,-0.012771375477314,,-0.0334303125,-0.0545935574918985,
,,,-0.0334225125,-0.0517490953207016,-0.012771375477314,,-0.0334225125,-0.0741248056292534,
,,,-0.0334147125,-0.0517490953207016,-0.012771375477314,,-0.0334147125,-0.0545935574918985,
,,,-0.0334069125,-0.0517490953207016,-0.012771375477314,,-0.0334069125,-0.0155310612171888,
,,,-0.0333991125,-0.0517490953207016,-0.012771375477314,,-0.0333991125,-0.0545935574918985,
,,,-0.0333913125,-0.11285462975502,-0.012771375477314,,-0.0333913125,-0.0545935574918985,
,,,-0.0333835125,-0.0517490953207016,-0.012771375477314,,-0.0333835125,-0.0741248056292534,
,,,-0.0333757125,-0.0517490953207016,-0.012771375477314,,-0.0333757125,-0.0545935574918985,
,,,-0.0333679125,-0.0517490953207016,-0.0324698686599731,,-0.0333679125,-0.0545935574918985,
,,,-0.0333601125,-0.0517490953207016,-0.0324698686599731,,-0.0333601125,0.00400018692016602,
,,,-0.0333523125,-0.11285462975502,-0.012771375477314,,-0.0333523125,-0.0545935574918985,
,,,-0.0333445125,-0.0517490953207016,-0.0324698686599731,,-0.0333445125,-0.0741248056292534,
,,,-0.0333367125,-0.0517490953207016,-0.0324698686599731,,-0.0333367125,-0.0545935574918985,
,,,-0.0333289125,-0.11285462975502,-0.012771375477314,,-0.0333289125,-0.0545935574918985,
,,,-0.0333211125,-0.0517490953207016,-0.012771375477314,,-0.0333211125,-0.0545935574918985,
,,,-0.0333133125,-0.0517490953207016,-0.0324698686599731,,-0.0333133125,-0.0545935574918985,
,,,-0.0333055125,-0.0517490953207016,-0.012771375477314,,-0.0333055125,-0.0545935574918985,
,,,-0.0332977125,-0.11285462975502,-0.012771375477314,,-0.0332977125,-0.0545935574918985,
,,,-0.0332899125,-0.0517490953207016,-0.012771375477314,,-0.0332899125,-0.0545935574918985,
,,,-0.0332821125,-0.0517490953207016,-0.012771375477314,,-0.0332821125,-0.0545935574918985,
,,,-0.0332743125,-0.0517490953207016,-0.012771375477314,,-0.0332743125,-0.0545935574918985,
,,,-0.0332665125,-0.0517490953207016,-0.012771375477314,,-0.0332665125,-0.0545935574918985,
,,,-0.0332587125,-0.0517490953207016,-0.0324698686599731,,-0.0332587125,-0.0545935574918985,
,,,-0.0332509125,-0.0517490953207016,-0.012771375477314,,-0.0332509125,-0.0545935574918985,
,,,-0.0332431125,-0.0517490953207016,-0.012771375477314,,-0.0332431125,-0.0545935574918985,
,,,-0.0332353125,-0.0517490953207016,-0.0324698686599731,,-0.0332353125,-0.0545935574918985,
,,,-0.0332275125,-0.0517490953207016,-0.012771375477314,,-0.0332275125,-0.0741248056292534,
,,,-0.0332197125,-0.0517490953207016,-0.0324698686599731,,-0.0332197125,-0.0741248056292534,
,,,-0.0332119125,-0.0517490953207016,-0.012771375477314,,-0.0332119125,-0.0545935574918985,
,,,-0.0332041125,-0.0517490953207016,-0.012771375477314,,-0.0332041125,-0.0545935574918985,
,,,-0.0331963125,-0.0517490953207016,-0.0324698686599731,,-0.0331963125,-0.0545935574918985,
,,,-0.0331885125,-0.0517490953207016,-0.012771375477314,,-0.0331885125,-0.0545935574918985,
,,,-0.0331807125,-0.0517490953207016,-0.012771375477314,,-0.0331807125,-0.0155310612171888,
,,,-0.0331729125,-0.11285462975502,-0.012771375477314,,-0.0331729125,-0.0741248056292534,
,,,-0.0331651125,-0.0517490953207016,-0.0324698686599731,,-0.0331651125,-0.0545935574918985,
,,,-0.0331573125,-0.11285462975502,-0.012771375477314,,-0.0331573125,-0.0545935574918985,
,,,-0.0331495125,-0.0517490953207016,-0.012771375477314,,-0.0331495125,-0.0545935574918985,
,,,-0.0331417125,-0.11285462975502,-0.012771375477314,,-0.0331417125,-0.0741248056292534,
,,,-0.0331339125,-0.0517490953207016,-0.0324698686599731,,-0.0331339125,-0.0741248056292534,
,,,-0.0331261125,-0.0517490953207016,-0.012771375477314,,-0.0331261125,-0.0545935574918985,
,,,-0.0331183125,-0.0517490953207016,-0.0324698686599731,,-0.0331183125,-0.0545935574918985,
,,,-0.0331105125,-0.0517490953207016,-0.012771375477314,,-0.0331105125,-0.0545935574918985,
,,,-0.0331027125,-0.0517490953207016,-0.0324698686599731,,-0.0331027125,-0.0155310612171888,
,,,-0.0330949125,-0.0517490953207016,-0.012771375477314,,-0.0330949125,-0.0545935574918985,
,,,-0.0330871125,-0.0517490953207016,-0.012771375477314,,-0.0330871125,-0.0741248056292534,
,,,-0.0330793125,-0.0517490953207016,-0.0324698686599731,,-0.0330793125,-0.0545935574918985,
,,,-0.0330715125,-0.0517490953207016,-0.0324698686599731,,-0.0330715125,-0.0545935574918985,
,,,-0.0330637125,-0.0517490953207016,-0.012771375477314,,-0.0330637125,-0.0155310612171888,
,,,-0.0330559125,-0.0517490953207016,-0.0324698686599731,,-0.0330559125,-0.0545935574918985,
,,,-0.0330481125,-0.11285462975502,-0.0324698686599731,,-0.0330481125,-0.0545935574918985,
,,,-0.0330403125,-0.0517490953207016,-0.012771375477314,,-0.0330403125,-0.0741248056292534,
,,,-0.0330325125,-0.0517490953207016,-0.012771375477314,,-0.0330325125,-0.0545935574918985,
,,,-0.0330247125,-0.0517490953207016,-0.012771375477314,,-0.0330247125,-0.0741248056292534,
,,,-0.0330169125,-0.11285462975502,-0.012771375477314,,-0.0330169125,-0.0545935574918985,
,,,-0.0330091125,-0.0517490953207016,-0.012771375477314,,-0.0330091125,-0.0155310612171888,
,,,-0.0330013125,-0.11285462975502,-0.012771375477314,,-0.0330013125,-0.0741248056292534,
,,,-0.0329935125,-0.0517490953207016,-0.012771375477314,,-0.0329935125,-0.0545935574918985,
,,,-0.0329857125,-0.11285462975502,-0.012771375477314,,-0.0329857125,-0.0545935574918985,
,,,-0.0329779125,-0.0517490953207016,-0.0324698686599731,,-0.0329779125,-0.0545935574918985,
,,,-0.0329701125,-0.11285462975502,-0.0324698686599731,,-0.0329701125,-0.0545935574918985,
,,,-0.0329623125,-0.11285462975502,-0.012771375477314,,-0.0329623125,-0.0545935574918985,
,,,-0.0329545125,-0.11285462975502,-0.0324698686599731,,-0.0329545125,-0.0545935574918985,
,,,-0.0329467125,-0.0517490953207016,-0.012771375477314,,-0.0329467125,-0.0545935574918985,
,,,-0.0329389125,-0.11285462975502,-0.012771375477314,,-0.0329389125,-0.0545935574918985,
,,,-0.0329311125,-0.0517490953207016,-0.0324698686599731,,-0.0329311125,-0.0545935574918985,
,,,-0.0329233125,-0.11285462975502,-0.012771375477314,,-0.0329233125,-0.0741248056292534,
,,,-0.0329155125,-0.0517490953207016,-0.012771375477314,,-0.0329155125,-0.0155310612171888,
,,,-0.0329077125,-0.0517490953207016,-0.012771375477314,,-0.0329077125,-0.0741248056292534,
,,,-0.0328999125,-0.11285462975502,-0.012771375477314,,-0.0328999125,-0.0545935574918985,
,,,-0.0328921125,-0.0517490953207016,-0.012771375477314,,-0.0328921125,-0.0545935574918985,
,,,-0.0328843125,-0.0517490953207016,-0.012771375477314,,-0.0328843125,-0.0741248056292534,
,,,-0.0328765125,-0.0517490953207016,-0.012771375477314,,-0.0328765125,-0.0545935574918985,
,,,-0.0328687125,-0.0517490953207016,-0.012771375477314,,-0.0328687125,-0.0545935574918985,
,,,-0.0328609125,-0.0517490953207016,-0.0324698686599731,,-0.0328609125,-0.0545935574918985,
,,,-0.0328531125,-0.0517490953207016,-0.012771375477314,,-0.0328531125,-0.0545935574918985,
,,,-0.0328453125,-0.0517490953207016,-0.012771375477314,,-0.0328453125,-0.0545935574918985,
,,,-0.0328375125,-0.11285462975502,-0.012771375477314,,-0.0328375125,-0.0545935574918985,
,,,-0.0328297125,-0.0517490953207016,-0.012771375477314,,-0.0328297125,-0.0545935574918985,
,,,-0.0328219125,-0.11285462975502,-0.012771375477314,,-0.0328219125,-0.0545935574918985,
,,,-0.0328141125,-0.0517490953207016,-0.0324698686599731,,-0.0328141125,-0.0545935574918985,
,,,-0.0328063125,-0.0517490953207016,-0.012771375477314,,-0.0328063125,-0.0545935574918985,
,,,-0.0327985125,-0.0517490953207016,-0.012771375477314,,-0.0327985125,-0.0545935574918985,
,,,-0.0327907125,-0.0517490953207016,-0.012771375477314,,-0.0327907125,-0.0545935574918985,
,,,-0.0327829125,-0.0517490953207016,-0.012771375477314,,-0.0327829125,0.00400018692016602,
,,,-0.0327751125,-0.0517490953207016,-0.012771375477314,,-0.0327751125,-0.0545935574918985,
,,,-0.0327673125,-0.0517490953207016,-0.0324698686599731,,-0.0327673125,-0.0545935574918985,
,,,-0.0327595125,-0.0517490953207016,-0.012771375477314,,-0.0327595125,-0.0741248056292534,
,,,-0.0327517125,0.00935643911361694,-0.012771375477314,,-0.0327517125,-0.0155310612171888,
,,,-0.0327439125,-0.11285462975502,-0.012771375477314,,-0.0327439125,-0.0545935574918985,
,,,-0.0327361125,-0.0517490953207016,-0.012771375477314,,-0.0327361125,-0.0741248056292534,
,,,-0.0327283125,-0.0517490953207016,-0.012771375477314,,-0.0327283125,-0.0741248056292534,
,,,-0.0327205125,-0.0517490953207016,-0.0324698686599731,,-0.0327205125,-0.0741248056292534,
,,,-0.0327127125,-0.0517490953207016,-0.012771375477314,,-0.0327127125,-0.0545935574918985,
